l_1 l_2 l_0 l_3
0 0 9 3
0 1 9 1
0 2 9 1
0 3 9 1
0 4 9 1
0 5 9 1
0 6 9 1
0 7 9 1
0 8 9 1
0 9 9 1
0 10 9 3
0 11 9 3
1 0 9 2
1 1 9 0
1 2 9 0
1 3 9 0
1 4 9 0
1 5 9 0
1 6 9 0
1 7 9 0
1 8 9 0
1 9 9 0
1 10 9 0
2 0 9 2
2 1 9 0
2 2 9 0
2 3 9 0
2 4 9 0
2 5 9 0
2 6 9 0
2 7 9 0
2 8 9 0
2 9 9 0
2 10 9 0
2 11 9 0
3 0 9 2
3 1 9 0
3 2 9 0
3 3 9 0
3 4 9 0
3 5 9 0
3 6 9 0
3 7 9 0
3 8 9 3
3 9 9 3
3 10 9 3
3 11 9 3
4 0 9 2
4 1 9 1
4 2 9 1
4 3 9 0
4 4 9 0
4 5 9 0
4 6 9 0
4 7 9 0
4 8 9 0
4 9 9 0
5 0 9 2
5 1 9 1
5 4 9 3
5 5 9 0
5 6 9 0
5 7 9 3
5 8 9 3
5 9 9 3
5 10 9 3
0 0 10 3
0 1 10 1
0 2 10 1
0 3 10 1
0 4 10 1
0 5 10 1
0 6 10 1
0 7 10 1
0 8 10 1
0 9 10 3
0 10 10 3
0 11 10 3
0 12 10 3
1 0 10 2
1 1 10 0
1 2 10 0
1 3 10 0
1 4 10 0
1 5 10 0
1 6 10 0
1 7 10 0
1 8 10 0
1 9 10 0
1 10 10 2
2 0 10 2
2 1 10 0
2 2 10 0
2 3 10 0
2 4 10 0
2 5 10 0
2 6 10 0
2 7 10 0
2 8 10 0
2 9 10 3
2 10 10 3
2 11 10 3
3 0 10 2
3 1 10 0
3 2 10 0
3 3 10 0
3 4 10 0
3 5 10 0
3 6 10 0
3 7 10 0
3 8 10 3
3 9 10 3
3 10 10 3
3 11 10 3
3 12 10 3
4 0 10 2
4 1 10 1
4 2 10 1
4 3 10 0
4 4 10 0
4 5 10 0
4 6 10 0
4 7 10 0
4 8 10 0
5 0 10 3
5 1 10 1
5 4 10 3
5 5 10 3
5 6 10 3
5 7 10 3
5 8 10 3
5 9 10 3
5 10 10 3
6 0 10 3
6 1 10 1
6 6 10 3
6 7 10 3
0 0 11 3
0 1 11 1
0 2 11 1
0 3 11 1
0 4 11 1
0 5 11 1
0 6 11 1
0 7 11 1
0 8 11 3
0 9 11 3
0 10 11 3
1 0 11 2
1 1 11 0
1 2 11 0
1 3 11 0
1 4 11 0
1 5 11 0
1 6 11 0
1 7 11 0
1 8 11 0
1 9 11 2
2 0 11 2
2 1 11 0
2 2 11 0
2 3 11 0
2 4 11 0
2 5 11 0
2 6 11 0
2 7 11 0
2 8 11 0
2 9 11 0
2 10 11 3
3 0 11 2
3 1 11 0
3 2 11 0
3 3 11 0
3 4 11 0
3 5 11 0
3 6 11 0
3 7 11 0
3 8 11 3
3 9 11 3
4 0 11 2
4 1 11 1
4 2 11 1
4 3 11 0
4 4 11 0
4 5 11 0
4 6 11 0
4 7 11 3
4 8 11 3
5 0 11 3
5 1 11 1
5 4 11 3
5 5 11 3
5 6 11 3
5 7 11 3
5 8 11 3
5 9 11 3
0 0 12 3
0 1 12 1
0 2 12 1
0 3 12 1
0 4 12 1
0 5 12 1
0 6 12 1
0 7 12 3
0 8 12 3
0 9 12 3
0 10 12 3
1 0 12 2
1 1 12 0
1 2 12 0
1 3 12 0
1 4 12 0
1 5 12 0
1 6 12 0
1 7 12 0
1 8 12 0
2 0 12 2
2 1 12 0
2 2 12 0
2 3 12 0
2 4 12 0
2 5 12 0
2 6 12 0
2 7 12 0
2 8 12 0
2 9 12 0
3 0 12 2
3 1 12 0
3 2 12 0
3 3 12 0
3 4 12 0
3 5 12 0
3 6 12 0
3 7 12 3
3 8 12 3
3 9 12 3
3 10 12 3
4 0 12 2
4 1 12 1
4 2 12 1
4 3 12 0
4 4 12 0
4 5 12 0
4 6 12 0
4 7 12 3
4 8 12 3
5 0 12 3
5 1 12 1
5 4 12 3
5 5 12 3
5 6 12 3
5 7 12 3
